fighter1_name,fighter2_name,fighter1_odds,fighter2_odds,fighter1_implied_prob,fighter2_implied_prob,opening_odds_f1,opening_odds_f2,line_movement_f1,line_movement_f2,odds_spread,event_name,source,f1_is_favorite,is_competitive_matchup,has_heavy_favorite,big_line_movement
Merab Dvalishvili,Petr Yan,-170,137,0.6296296296296297,0.4219409282700422,-140,107,-30,30,0.20768870135958745,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,0,0
Alexandre Pantoja,Joshua Van,197,-249,0.3367003367003367,0.7134670487106017,191,-243,6,-6,0.376766712010265,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,1,0
Brandon Moreno,Tatsuro Taira,-286,223,0.7409326424870466,0.30959752321981426,-282,219,-4,4,0.43133511926723234,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,1,0
Henry Cejudo,Payton Talbott,228,-293,0.3048780487804878,0.7455470737913485,222,-287,6,-6,0.44066902501086075,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,1,0
Jan Blachowicz,Bogdan Guskov,-384,289,0.7933884297520661,0.2570694087403599,-384,289,0,0,0.5363190210117063,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,1,0
Grant Dawson,Manuel Torres,119,-147,0.45662100456621,0.5951417004048583,106,-134,13,-13,0.13852069583864823,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,0,0
Terrance McKinney,Chris Duncan,228,-293,0.3048780487804878,0.7455470737913485,222,-287,6,-6,0.44066902501086075,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,1,0
Maycee Barber,Karine Silva,-231,183,0.6978851963746223,0.35335689045936397,-247,199,16,-16,0.34452830591525835,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,0,0
Nazim Sadykhov,Fares Ziam,-329,253,0.7668997668997669,0.28328611898017,-315,239,-14,14,0.48361364791959693,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,1,0
Marvin Vettori,Brunno Ferreira,182,-229,0.3546099290780142,0.6960486322188449,202,-249,-20,20,0.34143870314083075,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,0,0
Edson Barboza,Jalin Turner,204,-259,0.32894736842105265,0.7214484679665738,181,-236,23,-23,0.39250109954552115,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,1,0
Iwo Baraniewski,Ibo Aslan,-272,213,0.7311827956989247,0.3194888178913738,-281,222,9,-9,0.41169397780755096,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,1,0
Mansur Abdul-Malik,Antonio Trocoli,-363,275,0.7840172786177105,0.26666666666666666,-392,304,29,-29,0.5173506119510438,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,1,0,1,0
Muhammad Naimov,Mairon Santos,220,-282,0.3125,0.7382198952879581,210,-272,10,-10,0.42571989528795806,UFC 323: Dvalishvili vs. Yan 2 ,Synthetic,0,0,1,0
Arman Tsarukyan,Dan Hooker,160,-200,0.38461538461538464,0.6666666666666666,185,-225,-25,25,0.282051282051282,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,0,0
Belal Muhammad,Ian Machado Garry,186,-234,0.34965034965034963,0.7005988023952096,200,-248,-14,14,0.3509484527448599,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Volkan Oezdemir,Alonzo Menifield,290,-386,0.2564102564102564,0.7942386831275721,273,-369,17,-17,0.5378284267173157,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Jack Hermansson,Myktybek Orolbai,200,-254,0.3333333333333333,0.7175141242937854,170,-224,30,-30,0.38418079096045205,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Waldo Cortes Acosta,Shamil Gaziev,-191,154,0.6563573883161512,0.3937007874015748,-184,147,-7,7,0.2626566009145764,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,1,0,0,0
Tagir Ulanbekov,Kyoji Horiguchi,196,-248,0.33783783783783783,0.7126436781609196,184,-236,12,-12,0.37480584032308173,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Bogdan Grad,Luke Riley,-250,197,0.7142857142857143,0.3367003367003367,-230,177,-20,20,0.3775853775853776,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,1,0,1,0
Nicolas Dalby,Saygid Izagakhmaev,211,-269,0.3215434083601286,0.7289972899728997,228,-286,-17,17,0.4074538816127711,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Alex Perez,Asu Almabayev,147,-183,0.4048582995951417,0.6466431095406361,150,-186,-3,3,0.2417848099454944,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,0,0
Abdul Rakhman Yakhyaev,Rafael Cerqueira,115,-142,0.46511627906976744,0.5867768595041323,145,-172,-30,30,0.12166058043436484,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,0,0
Bekzat Almakhan,Aleksandre Topuria,193,-244,0.3412969283276451,0.7093023255813954,215,-266,-22,22,0.3680053972537503,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Ismail Naurdiev,Ryan Loder,-372,281,0.788135593220339,0.26246719160104987,-387,296,15,-15,0.5256684016192892,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,1,0,1,0
Nurullo Aliev,Shem Rock,150,-187,0.4,0.6515679442508711,164,-201,-14,14,0.25156794425087103,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,0,0
Marek Bujlo,Denzel Freeman,289,-383,0.2570694087403599,0.7929606625258799,298,-392,-9,9,0.53589125378552,UFC Fight Night: Tsarukyan vs. Hooker ,Synthetic,0,0,1,0
Jack Della Maddalena,Islam Makhachev,198,-251,0.33557046979865773,0.7150997150997151,179,-232,19,-19,0.3795292453010574,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,1,0
Valentina Shevchenko,Zhang Weili,152,-189,0.3968253968253968,0.6539792387543253,155,-192,-3,3,0.2571538419289285,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,0,0
Sean Brady,Michael Morales,272,-358,0.26881720430107525,0.7816593886462883,278,-364,-6,6,0.512842184345213,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,1,0
