wikipedia_url,scraped_at,event_name,date_raw,event_date,venue,venue_wiki_path,location,attendance,attendance_raw,ppv_buys,ppv_buys_raw,venue_capacity,gate_revenue,gate_raw,sell_through
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Sakai,2025-12-11T18:58:08.687842,UFC Fight Night: Rozenstruik vs. Sakai,"June 5, 2021",2021-06-05,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,None (behind closed doors)[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_on_Fox:_Poirier_vs._Gaethje,2025-12-11T19:02:55.180167,UFC on Fox: Poirier vs. Gaethje,"April 14, 2018",2018-04-14,Gila River Arena,/wiki/Gila_River_Arena,"Glendale, Arizona",11382.0,"11,382[1]",,,19000.0,1085712.25,"$1,085,712.25[1]",0.5990526315789474
https://en.wikipedia.org/wiki/UFC_on_Fox:_Weidman_vs._Gastelum,2025-12-11T19:03:57.259157,UFC on Fox: Weidman vs. Gastelum,"July 22, 2017",2017-07-22,Nassau Veterans Memorial Coliseum,/wiki/Nassau_Veterans_Memorial_Coliseum,"Uniondale, New York",11918.0,"11,918[1]",,,16000.0,1088332.0,"$1,088,332[1]",0.744875
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Correia,2025-12-11T19:04:06.736854,UFC Fight Night: Holm vs. Correia,"June 17, 2017",2017-06-17,Singapore Indoor Stadium,/wiki/Singapore_Indoor_Stadium,"Kallang, Singapore",8414.0,"8,414[1]",,,15000.0,839300.0,"$839,300[1]",0.5609333333333333
https://en.wikipedia.org/wiki/UFC_212,2025-12-11T19:04:10.694672,UFC 212,"June 3, 2017",2017-06-03,Jeunesse Arena,/wiki/Jeunesse_Arena,"Rio de Janeiro, Brazil",15412.0,"15,412[1]",,,18768.0,,,0.8211849957374254
https://en.wikipedia.org/wiki/UFC_211,2025-12-11T19:04:14.567970,UFC 211,"May 13, 2017",2017-05-13,American Airlines Center,/wiki/American_Airlines_Center,"Dallas,Texas",17834.0,"17,834[1]",,,21146.0,2662645.0,"$2,662,645[1]",0.8433746335004256
https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Reis,2025-12-11T19:04:18.543253,UFC on Fox: Johnson vs. Reis,"April 15, 2017",2017-04-15,Sprint Center,/wiki/Sprint_Center,"Kansas City, Missouri",12171.0,"12,171[1]",,,19252.0,1081193.0,"$1,081,193[1]",0.6321940577602327
https://en.wikipedia.org/wiki/UFC_210,2025-12-11T19:04:20.544635,UFC 210,"April 8, 2017",2017-04-08,KeyBank Center,/wiki/KeyBank_Center,"Buffalo, New York",17110.0,"17,110[1]",300000.0,"300,000[2]",19200.0,2000000.0,"$2,000,000[1]",0.8911458333333333
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson,2025-12-11T19:04:22.632526,UFC Fight Night: Manuwa vs. Anderson,"March 18, 2017",2017-03-18,The O2Arena,/wiki/The_O2_Arena,"London,England",15761.0,"15,761[1]",,,20000.0,2015777.0,"$2,015,777[1]",0.78805
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum,2025-12-11T19:04:24.853338,UFC Fight Night: Belfort vs. Gastelum,"March 11, 2017",2017-03-11,Centro de Formação Olímpica do Nordeste,,"Fortaleza,Brazil",14069.0,"14,069[1]",,,,,,
https://en.wikipedia.org/wiki/UFC_209,2025-12-11T19:04:26.174155,UFC 209,"March 4, 2017",2017-03-04,T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada",13150.0,"13,150[1]",,,20000.0,2385230.0,"$2,385,230[1]",0.6575
https://en.wikipedia.org/wiki/UFC_208,2025-12-11T19:04:30.862375,UFC 208,"February 11, 2017",2017-02-11,Barclays Center,/wiki/Barclays_Center,"Brooklyn,New York",15628.0,"15,628[1]",,,20000.0,2275105.0,"$2,275,105[1]",0.7814
https://en.wikipedia.org/wiki/UFC_on_Fox:_Shevchenko_vs._Pe%C3%B1a,2025-12-11T19:04:35.051062,UFC on Fox: Shevchenko vs. Peña,"January 28, 2017",2017-01-28,Pepsi Center,/wiki/Pepsi_Center,"Denver, Colorado",13233.0,"13,233[1]",,,21000.0,1020434.0,"$1,020,434[1]",0.6301428571428571
https://en.wikipedia.org/wiki/UFC_Fight_Night:_MacDonald_vs._Thompson,2025-12-11T19:05:26.686542,UFC Fight Night: MacDonald vs. Thompson,"June 18, 2016",2016-06-18,TD Place Arena,/wiki/TD_Place_Arena,"Ottawa,Ontario,Canada",10490.0,"10,490[1]",,,10575.0,1278250.0,"$1,278,250[1]",0.9919621749408983
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Almeida_vs._Garbrandt,2025-12-11T19:05:30.674558,UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016",2016-05-29,Mandalay Bay Events Center,/wiki/Mandalay_Bay_Events_Center,"Las Vegas,Nevada",5193.0,"5,193[1]",,,12000.0,359000.0,"$359,000[1]",0.43275
https://en.wikipedia.org/wiki/UFC_198,2025-12-11T19:05:32.567161,UFC 198,"May 14, 2016",2016-05-14,Arena da Baixada,/wiki/Arena_da_Baixada,"Curitiba,Brazil",45207.0,"45,207[1]",217000.0,"217,000[2][3]",42372.0,,,1.0669073916737468
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Arlovski,2025-12-11T19:05:34.545940,UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016",2016-05-08,Rotterdam Ahoy,/wiki/Rotterdam_Ahoy,"Rotterdam,Netherlands",10421.0,"10,421[1]",,,,1523320.0,"$1,523,320[1]",
https://en.wikipedia.org/wiki/UFC_on_Fox:_Teixeira_vs._Evans,2025-12-11T19:05:38.503709,UFC on Fox: Teixeira vs. Evans,"April 16, 2016",2016-04-16,Amalie Arena,/wiki/Amalie_Arena,"Tampa, Florida",11273.0,"11,273[1]",,,21500.0,1057000.0,"$1,057,000[1]",0.5243255813953488
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rothwell_vs._dos_Santos,2025-12-11T19:05:40.537213,UFC Fight Night: Rothwell vs. dos Santos,"April 10, 2016",2016-04-10,Arena Zagreb,/wiki/Arena_Zagreb,"Zagreb,Croatia",13177.0,"13,177[1]",,,,549000.0,"$549,000[1]",
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Mir,2025-12-11T19:05:44.185622,UFC Fight Night: Hunt vs. Mir,"March 20, 2016",2016-03-20,Brisbane Entertainment Centre,/wiki/Brisbane_Entertainment_Centre,"Brisbane, Australia",9552.0,"9,552[1]",,,14500.0,1000000.0,"$1,000,000[1]",0.6587586206896552
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson_3,2025-12-11T19:06:12.549067,UFC Fight Night: Belfort vs. Henderson 3,"November 7, 2015",2015-11-07,Ginásio do Ibirapuera,/wiki/Gin%C3%A1sio_do_Ibirapuera,"São Paulo, Brazil",10628.0,"10,628[1]",,,10200.0,,,1.0419607843137255
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,2025-12-11T19:07:29.975691,UFC Fight Night: Edgar vs. Swanson,"November 22, 2014",2014-11-22,Frank Erwin Center,/wiki/Frank_Erwin_Center,"Austin, Texas",10131.0,"10,131[1]",,,,670022.0,"$670,022[1]",
https://en.wikipedia.org/wiki/UFC_on_Fox:_Werdum_vs._Browne,2025-12-11T19:08:37.408143,UFC on Fox: Werdum vs. Browne,"April 19, 2014",2014-04-19,Amway Center,/wiki/Amway_Center,"Orlando, Florida",14410.0,"14,410[1]",,,20000.0,1651776.0,"$1,651,776[1]",0.7205
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mousasi,2025-12-11T19:08:52.369871,UFC Fight Night: Machida vs. Mousasi,"February 15, 2014",2014-02-15,Arena Jaraguá,/wiki/Arena_Jaragu%C3%A1,"Jaraguá do Sul,Brazil",7511.0,"7,511[1]",,,8000.0,,,0.938875
https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Thomson,2025-12-11T19:08:56.859311,UFC on Fox: Henderson vs. Thomson,"January 25, 2014",2014-01-25,United Center,/wiki/United_Center,"Chicago, Illinois",10895.0,"10,895[1]",,,23500.0,863655.0,"$863,655[1]",0.46361702127659576
