event_name,wikipedia_url,scraped_at,date_raw,venue,venue_wiki_path,location,attendance,attendance_raw,gate_revenue,gate_raw,venue_capacity,sell_through,source,ppv_buys,event_date
UFC Fight Night: Holm vs. Correia,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Holm_vs._Correia,2025-12-07T15:40:10.391837,"June 17, 2017",Singapore Indoor Stadium,/wiki/Singapore_Indoor_Stadium,"Kallang, Singapore",8414.0,"8,414[1]",839300.0,"$839,300[1]",15000.0,0.5609333333333333,Wikipedia,,2017-06-17
UFC 212: Aldo vs. Holloway,https://en.wikipedia.org/wiki/UFC_212%3A_Aldo_vs._Holloway,2025-12-07T15:40:18.845947,"June 3, 2017",Jeunesse Arena,/wiki/Jeunesse_Arena,"Rio de Janeiro, Brazil",15412.0,"15,412[1]",,,18768.0,0.8211849957374254,Wikipedia,,2017-06-03
UFC 210: Cormier vs. Johnson 2,https://en.wikipedia.org/wiki/UFC_210%3A_Cormier_vs._Johnson_2,2025-12-07T15:40:38.405503,"April 8, 2017",KeyBank Center,/wiki/KeyBank_Center,"Buffalo, New York",17110.0,"17,110[1]",2000000.0,"$2,000,000[1]",19200.0,0.8911458333333333,Wikipedia,300000.0,2017-04-08
UFC Fight Night: Manuwa vs. Anderson,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Manuwa_vs._Anderson,2025-12-07T15:40:42.548918,"March 18, 2017",The O2Arena,/wiki/The_O2_Arena,"London,England",15761.0,"15,761[1]",2015777.0,"$2,015,777[1]",20000.0,0.78805,Wikipedia,,2017-03-18
UFC Fight Night: Belfort vs. Gastelum,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Belfort_vs._Gastelum,2025-12-07T15:40:46.918539,"March 11, 2017",Centro de Formação Olímpica do Nordeste,,"Fortaleza,Brazil",14069.0,"14,069[1]",,,,,Wikipedia,,2017-03-11
UFC 209: Woodley vs. Thompson 2,https://en.wikipedia.org/wiki/UFC_209%3A_Woodley_vs._Thompson_2,2025-12-07T15:40:49.487321,"March 4, 2017",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada",13150.0,"13,150[1]",2385230.0,"$2,385,230[1]",20000.0,0.6575,Wikipedia,,2017-03-04
UFC on FX: Belfort vs. Rockhold,https://en.wikipedia.org/wiki/UFC_on_FX%3A_Belfort_vs._Rockhold,2025-12-07T15:50:24.775724,"May 18, 2013",Arena Jaraguá,/wiki/Arena_Jaragu%C3%A1,"Jaraguá do Sul,Brazil",7642.0,"7,642[1]",,,8000.0,0.95525,Wikipedia,,2013-05-18
UFC 125: Resolution,https://en.wikipedia.org/wiki/UFC_125%3A_Resolution,2025-12-07T15:54:34.087968,"January 1, 2011",MGM Grand Garden Arena,/wiki/MGM_Grand_Garden_Arena,"Las Vegas, Nevada",12874.0,"12,874[1]",2174780.0,"$2,174,780[1]",17000.0,0.7572941176470588,Wikipedia,270000.0,2011-01-01
UFC 112: Invincible,https://en.wikipedia.org/wiki/UFC_112%3A_Invincible,2025-12-07T15:55:32.692098,"April 10, 2010","Concert Arena,Yas Island",/wiki/Yas_Island,"Abu Dhabi,United Arab Emirates",11008.0,"11,008[1]",3500000.0,"$3,500,000[1]",,,Wikipedia,500000.0,2010-04-10
UFC 109: Relentless,https://en.wikipedia.org/wiki/UFC_109%3A_Relentless,2025-12-07T15:55:52.392095,"February 6, 2010",Mandalay Bay Events Center,/wiki/Mandalay_Bay_Events_Center,"Las Vegas, Nevada",10753.0,"10,753[1]",2273000.0,"$2,273,000[1]",12000.0,0.8960833333333333,Wikipedia,275000.0,2010-02-06
