fighter1_name,fighter2_name,event_date,f1_avg_search_7d,f1_avg_search_30d,f1_peak_search_7d,f1_trend_direction,f2_avg_search_7d,f2_avg_search_30d,f2_peak_search_7d,f2_trend_direction,combined_buzz_7d,combined_buzz_30d,max_peak_search,buzz_differential
Merab Dvalishvili,Petr Yan,2025-06-10 18:26:27.779395,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alexandre Pantoja,Joshua Van,2025-05-18 18:26:27.802663,10.0,19.0,10,-1,25.0,25.0,30,0,35.0,44.0,30,15.0
Brandon Moreno,Tatsuro Taira,2025-04-27 18:26:27.825052,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Henry Cejudo,Payton Talbott,2025-06-22 18:26:27.852317,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jan Blachowicz,Bogdan Guskov,2025-10-08 18:26:27.876350,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Grant Dawson,Manuel Torres,2025-05-16 18:26:27.902077,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Terrance McKinney,Chris Duncan,2025-11-24 18:26:27.924815,25.0,25.0,30,0,12.0,15.4,12,-1,37.0,40.4,30,13.0
Maycee Barber,Karine Silva,2024-12-22 18:26:27.951598,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nazim Sadykhov,Fares Ziam,2025-01-30 18:26:27.978666,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Marvin Vettori,Brunno Ferreira,2025-02-08 18:26:28.002645,25.0,25.0,30,0,31.0,30.25,31,1,56.0,55.25,31,6.0
Edson Barboza,Jalin Turner,2025-05-10 18:26:28.029026,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Iwo Baraniewski,Ibo Aslan,2025-06-01 18:26:28.053666,44.0,43.8,44,-1,7.0,14.4,7,-1,51.0,58.199999999999996,44,37.0
Mansur Abdul-Malik,Antonio Trocoli,2025-10-31 18:26:28.080563,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Muhammad Naimov,Mairon Santos,2025-10-08 18:26:28.103283,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Arman Tsarukyan,Dan Hooker,2025-09-06 18:26:28.127953,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Belal Muhammad,Ian Machado Garry,2025-04-11 18:26:28.152534,46.0,40.5,46,-1,25.0,25.0,30,0,71.0,65.5,46,21.0
Volkan Oezdemir,Alonzo Menifield,2025-07-17 18:26:28.176917,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jack Hermansson,Myktybek Orolbai,2025-08-22 18:26:28.198163,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Waldo Cortes Acosta,Shamil Gaziev,2025-06-12 18:26:28.221070,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tagir Ulanbekov,Kyoji Horiguchi,2025-11-04 18:26:28.243075,25.0,25.0,30,0,53.0,54.75,53,-1,78.0,79.75,53,28.0
Bogdan Grad,Luke Riley,2025-11-27 18:26:28.268123,4.0,14.0,4,-1,25.0,25.0,30,0,29.0,39.0,30,21.0
Nicolas Dalby,Saygid Izagakhmaev,2025-06-25 18:26:28.293153,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alex Perez,Asu Almabayev,2025-03-15 18:26:28.317349,25.0,25.0,30,0,27.0,36.25,27,-1,52.0,61.25,30,2.0
Abdul Rakhman Yakhyaev,Rafael Cerqueira,2025-09-08 18:26:28.345910,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Bekzat Almakhan,Aleksandre Topuria,2024-12-10 18:26:28.369191,10.0,10.25,10,1,25.0,25.0,30,0,35.0,35.25,30,15.0
Ismail Naurdiev,Ryan Loder,2025-02-22 18:26:28.398607,7.0,6.25,7,-1,26.0,27.25,26,-1,33.0,33.5,26,19.0
Nurullo Aliev,Shem Rock,2025-07-14 18:26:28.426227,52.0,30.6,52,1,25.0,25.0,30,0,77.0,55.6,52,27.0
Marek Bujlo,Denzel Freeman,2025-09-22 18:26:28.448672,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jack Della Maddalena,Islam Makhachev,2025-09-02 18:26:28.475884,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Valentina Shevchenko,Zhang Weili,2025-07-29 18:26:28.495214,20.0,19.5,20,-1,58.0,35.5,58,1,78.0,55.0,58,38.0
Sean Brady,Michael Morales,2025-09-28 18:26:28.523767,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Leon Edwards,Carlos Prates,2025-09-24 18:26:28.545526,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Beneil Dariush,Benoit Saint Denis,2025-10-03 18:26:28.569312,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Bo Nickal,Rodolfo Vieira,2024-12-14 18:26:28.592863,14.0,9.0,14,1,25.0,25.0,30,0,39.0,34.0,30,11.0
Roman Kopylov,Gregory Rodrigues,2025-08-01 18:26:28.615980,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Erin Blanchfield,Tracy Cortez,2025-04-17 18:26:28.641107,10.0,11.25,10,1,25.0,25.0,30,0,35.0,36.25,30,15.0
Malcolm Wellmaker,Ethyn Ewing,2025-07-26 18:26:28.661138,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kyle Daukaus,Gerald Meerschaert,2025-02-25 18:26:28.684225,26.0,33.75,26,-1,25.0,25.0,30,0,51.0,58.75,30,1.0
Pat Sabatini,Chepe Mariscal,2025-04-03 18:26:28.712681,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Angela Hill,Fatima Kline,2025-09-14 18:26:28.735180,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Baisangur Susurkaev,Eric McConico,2025-10-29 18:26:28.761267,9.0,6.5,9,1,25.0,25.0,30,0,34.0,31.5,30,16.0
Viacheslav Borshchev,Matheus Camilo,2025-07-17 18:26:28.783482,25.0,25.0,30,0,21.0,17.25,21,1,46.0,42.25,30,4.0
Gabriel Bonfim,Randy Brown,2025-06-13 18:26:28.812124,35.0,36.5,35,1,25.0,25.0,30,0,60.0,61.5,35,10.0
Matt Schnell,Joseph Morales,2025-09-01 18:26:28.837161,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Muslim Salikhov,Uros Medic,2025-08-20 18:26:28.861300,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Chris Padilla,Ismael Bonfim,2025-05-24 18:26:28.885162,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Christian Leroy Duncan,Marco Tulio,2025-04-04 18:26:28.906190,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Hyder Amil,Jamall Emmers,2025-11-11 18:26:28.925001,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ricky Simon,Raoni Barcelos,2025-02-01 18:26:28.948847,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Mayra Bueno Silva,Jacqueline Cavalcanti,2025-04-06 18:26:28.978306,25.0,25.0,30,0,28.0,18.8,28,1,53.0,43.8,30,3.0
Josh Hokit,Max Gimenis,2025-09-20 18:26:29.003547,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tecia Pennington,Denise Gomes,2025-11-10 18:26:29.020119,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Miles Johns,Daniel Marcos,2024-12-26 18:26:29.048608,14.0,16.5,14,1,25.0,25.0,30,0,39.0,41.5,30,11.0
Zach Reese,Jackson McVey,2025-11-18 18:26:29.071402,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Steve Garcia,David Onama,2025-06-19 18:26:29.098349,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Waldo Cortes Acosta,Ante Delija,2025-04-25 18:26:29.131447,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jeremiah Wells,Themba Gorimbo,2025-06-12 18:26:29.175338,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Isaac Dulgarian,Yadier del Valle,2025-05-20 18:26:29.213649,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Charles Radtke,Daniel Frunza,2025-03-12 18:26:29.256467,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Allan Nascimento,Cody Durden,2025-06-25 18:26:29.292728,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Billy Elekana,Kevin Christian,2025-04-09 18:26:29.326910,16.0,14.25,16,1,25.0,25.0,30,0,41.0,39.25,30,9.0
